trip_id,route_id,direction_id,bus_id
T000136,R0001,0,B00020
T000137,R0001,1,B00020
T000138,R0001,0,B00020
T000139,R0001,0,B00021
T000140,R0001,1,B00021
T000141,R0001,0,B00021
T000142,R0001,1,B00021
T000143,R0001,0,B00021
T000144,R0001,1,B00021
T000145,R0001,1,B00022
T000146,R0001,0,B00022
T000147,R0001,1,B00022
T000148,R0001,0,B00022
T000149,R0001,1,B00022
T000150,R0001,0,B00022
T000151,R0001,0,B00023
T000152,R0001,1,B00023
T000153,R0001,0,B00023
T000154,R0001,1,B00023
T000155,R0001,0,B00023
T000156,R0001,1,B00023
T000157,R0001,1,B00024
T000158,R0001,0,B00024
T000159,R0001,1,B00024
T000160,R0001,0,B00024
T000161,R0001,1,B00024
T000162,R0001,0,B00024
T000163,R0001,0,B00025
T000164,R0001,1,B00025
T000165,R0001,0,B00025
T000166,R0001,1,B00025
T000167,R0001,0,B00025
T000168,R0001,1,B00025
T000169,R0001,1,B00026
T000170,R0001,0,B00026
T000171,R0001,1,B00026
T000172,R0001,0,B00026
T000173,R0001,1,B00026
T000174,R0001,0,B00026
T000175,R0001,0,B00027
T000176,R0001,1,B00027
T000177,R0001,0,B00027
T000178,R0001,1,B00027
T000179,R0001,0,B00027
T000180,R0001,1,B00027
T000181,R0001,1,B00028
T000182,R0001,0,B00028
T000183,R0001,1,B00028
T000184,R0001,0,B00028
T000185,R0001,1,B00028
T000186,R0001,0,B00028
T000187,R0001,0,B00029
T000188,R0001,1,B00029
T000189,R0001,0,B00029
T000190,R0001,1,B00029
T000191,R0001,0,B00029
T000192,R0001,1,B00029
T000193,R0001,1,B00030
T000194,R0001,0,B00030
T000195,R0001,1,B00030
T000196,R0001,0,B00030
T000197,R0001,1,B00030
T000198,R0001,0,B00030
T010674,R0002,0,B01321
T010675,R0002,1,B01321
T010676,R0002,0,B01321
T010677,R0002,1,B01321
T010678,R0002,0,B01321
T010679,R0002,1,B01321
T010680,R0002,0,B01321
T010681,R0002,1,B01321
T010682,R0002,1,B01322
T010683,R0002,0,B01322
T010684,R0002,1,B01322
T010685,R0002,0,B01322
T010686,R0002,1,B01322
T010687,R0002,0,B01322
T010688,R0002,1,B01322
T010689,R0002,0,B01322
T010690,R0002,0,B01323
T010691,R0002,1,B01323
T010692,R0002,0,B01323
T010693,R0002,1,B01323
T010694,R0002,0,B01323
T010695,R0002,1,B01323
T010696,R0002,0,B01323
T010697,R0002,1,B01323
T010698,R0002,1,B01324
T010699,R0002,0,B01324
T010700,R0002,1,B01324
T010701,R0002,0,B01324
T010702,R0002,1,B01324
T010703,R0002,0,B01324
T010704,R0002,1,B01324
T010705,R0002,0,B01324
T010706,R0002,0,B01325
T010707,R0002,1,B01325
T010708,R0002,0,B01325
T010709,R0002,1,B01325
T010710,R0002,0,B01325
T010711,R0002,1,B01325
T010712,R0002,0,B01325
T010713,R0002,1,B01325
T010714,R0002,1,B01326
T010715,R0002,0,B01326
T010716,R0002,1,B01326
T010717,R0002,0,B01326
T010718,R0002,1,B01326
T010719,R0002,0,B01326
T010720,R0002,1,B01326
T010721,R0002,0,B01326
T010722,R0002,0,B01327
T010723,R0002,1,B01327
T010724,R0002,0,B01327
T010725,R0002,1,B01327
T010726,R0002,0,B01327
T010727,R0002,1,B01327
T010728,R0002,0,B01327
T010729,R0002,1,B01327
T010730,R0002,1,B01328
T010731,R0002,0,B01328
T010732,R0002,1,B01328
T010733,R0002,0,B01328
T010734,R0002,1,B01328
T010735,R0002,0,B01328
T010736,R0002,1,B01328
T010737,R0002,0,B01328
T010738,R0002,0,B01329
T010739,R0002,1,B01329
T010740,R0002,0,B01329
T010741,R0002,1,B01329
T010742,R0002,0,B01329
T010743,R0002,1,B01329
T010744,R0002,0,B01329
T010745,R0002,1,B01329
T010746,R0002,1,B01330
T010747,R0002,0,B01330
T010748,R0002,1,B01330
T010749,R0002,0,B01330
T010750,R0002,1,B01330
T010751,R0002,0,B01330
T010752,R0002,1,B01330
T010753,R0002,0,B01330
T010754,R0002,0,B01331
T010755,R0002,1,B01331
T010756,R0002,0,B01331
T010757,R0002,1,B01331
T010758,R0002,0,B01331
T010759,R0002,1,B01331
T010760,R0002,0,B01331
T010761,R0002,1,B01331
T010762,R0002,1,B01332
T010763,R0002,0,B01332
T010764,R0002,1,B01332
T010765,R0002,0,B01332
T010766,R0002,1,B01332
T010767,R0002,0,B01332
T010768,R0002,1,B01332
T010769,R0002,0,B01332
T010770,R0002,0,B01333
T010771,R0002,1,B01333
T010772,R0002,0,B01333
T010773,R0002,1,B01333
T010774,R0002,0,B01333
T010775,R0002,1,B01333
T010776,R0002,0,B01333
T010777,R0002,1,B01333
T010778,R0002,1,B01334
T010779,R0002,0,B01334
T010780,R0002,1,B01334
T010781,R0002,0,B01334
T010782,R0002,1,B01334
T010783,R0002,0,B01334
T010784,R0002,1,B01334
T010785,R0002,0,B01334
T010786,R0002,0,B01335
T010787,R0002,1,B01335
T010788,R0002,0,B01335
T010789,R0002,1,B01335
T010790,R0002,0,B01335
T010791,R0002,1,B01335
T010792,R0002,0,B01335
T010793,R0002,1,B01335
T010794,R0002,1,B01336
T010795,R0002,0,B01336
T010796,R0002,1,B01336
T010797,R0002,0,B01336
T010798,R0002,1,B01336
T010799,R0002,0,B01336
T010800,R0002,1,B01336
T010801,R0002,0,B01336
T010802,R0002,0,B01337
T010803,R0002,1,B01337
T010804,R0002,0,B01337
T010805,R0002,1,B01337
T010806,R0002,0,B01337
T010807,R0002,1,B01337
T010808,R0002,0,B01337
T010809,R0002,1,B01337
T010810,R0002,1,B01338
T010811,R0002,0,B01338
T010812,R0002,1,B01338
T010813,R0002,0,B01338
T010814,R0002,1,B01338
T010815,R0002,0,B01338
T010816,R0002,1,B01338
T010817,R0002,0,B01338
T010818,R0002,0,B01339
T010819,R0002,1,B01339
T010820,R0002,0,B01339
T010821,R0002,1,B01339
T010822,R0002,0,B01339
T010823,R0002,1,B01339
T010824,R0002,0,B01339
T010825,R0002,1,B01339
T010826,R0002,1,B01340
T010827,R0002,0,B01340
T010828,R0002,1,B01340
T010829,R0002,0,B01340
T010830,R0002,1,B01340
T010831,R0002,0,B01340
T010832,R0002,1,B01340
T010833,R0002,0,B01340
T010834,R0002,0,B01341
T010835,R0002,1,B01341
T010836,R0002,0,B01341
T010837,R0002,1,B01341
T010838,R0002,0,B01341
T010839,R0002,1,B01341
T010840,R0002,0,B01341
T010841,R0002,1,B01342
T010842,R0002,0,B01342
T010843,R0002,1,B01342
T010844,R0002,0,B01342
T010845,R0002,1,B01342
T010846,R0002,0,B01342
T010847,R0002,1,B01342
T010848,R0002,0,B01343
T010849,R0002,1,B01343
T010850,R0002,0,B01343
T010851,R0002,1,B01343
T010852,R0002,0,B01343
T010853,R0002,1,B01343
T010854,R0002,0,B01343
T010855,R0002,1,B01344
T010856,R0002,0,B01344
T010857,R0002,1,B01344
T010858,R0002,0,B01344
T010859,R0002,1,B01344
T010860,R0002,0,B01344
T010861,R0002,1,B01344
T010862,R0002,0,B01345
T010863,R0002,1,B01345
T010864,R0002,0,B01345
T010865,R0002,1,B01345
T010866,R0002,0,B01345
T010867,R0002,1,B01345
T010868,R0002,0,B01345
T010869,R0002,1,B01346
T010870,R0002,0,B01346
T010871,R0002,1,B01346
T010872,R0002,0,B01346
T010873,R0002,1,B01346
T010874,R0002,0,B01346
T010875,R0002,1,B01346
T010876,R0002,0,B01347
T010877,R0002,1,B01347
T010878,R0002,0,B01347
T010879,R0002,1,B01347
T010880,R0002,0,B01347
T010881,R0002,1,B01347
T010882,R0002,0,B01347
T010883,R0002,1,B01348
T010884,R0002,0,B01348
T010885,R0002,1,B01348
T010886,R0002,0,B01348
T010887,R0002,1,B01348
T010888,R0002,0,B01348
T010889,R0002,1,B01348
T010890,R0002,0,B01349
T010891,R0002,1,B01349
T010892,R0002,0,B01349
T010893,R0002,1,B01349
T010894,R0002,0,B01349
T010895,R0002,1,B01349
T010896,R0002,0,B01349
T010897,R0002,1,B01350
T010898,R0002,0,B01350
T010899,R0002,1,B01350
T010900,R0002,0,B01350
T010901,R0002,1,B01350
T010902,R0002,0,B01350
T010903,R0002,1,B01350
